時刻,気温,降水量,風向,風速,日照時間,積雪深,湿度,気圧
時,℃,mm,16方位,m/s,h,cm,%,hPa
1,-1.6,2.5,南,1.8, ,15,94,1021.5
2,-2.0,0.0,東南東,1.5, ,15,93,1021.3
3,-2.3,0.0,南南西,0.8, ,14,88,1021.4
4,-1.9,0.5,南東,1.5,0.0,14,92,1021.4
5,-2.4,0.0,南西,1.1,0.0,15,92,1021.8
6,-2.4,0.0,南南東,1.2,0.0,15,89,1022.1
7,-2.9,0.0,東南東,2.6,0.0,15,87,1022.4
8,-2.3,0.0,南西,0.7,0.0,14,84,1023.1
9,-0.8,0.0,東南東,2.7,0.3,14,81,1023.6
10,0.9,0.0,東南東,1.9,0.4,13,73,1023.7
11,2.8,0.0,西,1.3,0.8,12,59,1023.8
12,4.4,0.0,北北西,2.7,0.8,11,64,1023.5
13,4.3,0.0,北,1.4,0.7,9,62,1023.3
14,5.4,0.0,西北西,4.4,0.8,9,48,1022.9
15,5.5,0.0,北西,4.0,1.0,8,49,1023.3
16, , , , , , , , 
17, , , , , , , , 
18, , , , , , , , 
19, , , , , , , , 
20, , , , , , , , 
21, , , , , , , , 
22, , , , , , , , 
23, , , , , , , , 
24, , , , , , , , 
